k,x,scalar_root,reduced_kirchhoff,reduced_norm,full_verified,full_kirchhoff,full_norm,vertices,edges
265,0.005927602732216473,0.8309647325525115,4.2500725161431774e-17,5.551115123125783e-16,True,8.659739592076221e-15,2.0872192862952943e-14,2120,3180
267,0.005883200185212386,0.8309732770406655,5.0306980803327406e-17,2.220446049250313e-16,True,9.103828801926284e-15,2.220446049250313e-14,2136,3204
269,0.005839457921813943,0.830981693374313,2.0209528495129803e-16,1.4432899320127035e-15,True,5.887217796596289e-14,2.9976021664879227e-15,2152,3228
271,0.005796361322533686,0.8309899844150176,3.729655473350135e-17,6.661338147750939e-16,True,1.3654875841151437e-14,7.993605777301127e-15,2168,3252
273,0.005753896196318035,0.8309981529397814,1.1188966420050406e-16,2.220446049250313e-16,True,3.0020257113516635e-14,1.9539925233402755e-14,2184,3276
275,0.005712048764966846,0.8310062016441473,8.413408858487514e-17,1.7763568394002505e-15,True,2.237793284010081e-14,9.103828801926284e-15,2200,3300
277,0.00567080564822797,0.8310141331451628,1.1102230246251565e-16,8.881784197001252e-16,True,1.7707189881033258e-14,6.217248937900877e-15,2216,3324
279,0.005630153849532971,0.8310219499842173,5.2692225582795515e-17,6.661338147750939e-16,True,1.753805434212552e-14,1.0658141036401503e-14,2232,3348
281,0.005590080742342025,0.8310296546297561,5.551115123125783e-17,1.9984014443252818e-15,True,1.3211653993039363e-14,3.186340080674199e-14,2248,3372
283,0.005550574057067894,0.8310372494798788,8.326672684688674e-17,4.440892098500626e-16,True,1.8150411729145333e-14,2.298161660974074e-14,2264,3396
285,0.005511621868550489,0.8310447368648262,2.2724877535296173e-16,1.6653345369377348e-15,True,7.137866686601768e-14,1.6431300764452317e-14,2280,3420
287,0.005473212584055196,0.8310521190493658,2.237793284010081e-16,2.220446049250313e-16,True,6.429318882839041e-14,3.708144902248023e-14,2296,3444
289,0.005435334931769572,0.8310593982350734,2.0990154059319366e-16,8.881784197001252e-16,True,5.91037635500058e-14,1.1324274851176597e-14,2312,3468
