bridgeless,bridges,connected,cubic,cycle_rank,edges,elapsed_seconds,gram_rank,graph_sha256,max_conservation_residual,max_unit_norm_residual,method,name,simple,solver_cost,solver_nfev,three_edge_coloring_search_nodes,three_edge_coloring_status,valid_s2_certificate,vertices
True,[],True,True,6,15,0.0004168460000073537,3,5ed0c804812d31636c323c888d7b9492de4fc7877c52495bafc60ed117a1a458,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed264712783,True,,,9,colourable,True,10
True,[],True,True,6,15,0.0003972850000764083,3,b768889e3641dd650be20e4989af88cd631529b3c081f747e2172556de6c8ac2,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed3851204813,True,,,6,colourable,True,10
True,[],True,True,6,15,0.000505360000033761,3,bc5b5df0e0d44cc901ac3f75e681ba654cbabe6dad11d48a0d98338fa67dc1df,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed1626857644,True,,,9,colourable,True,10
True,[],True,True,6,15,0.00040604800005894504,3,64de776e85cb3b5de676a355119971c860e7077838f946b061c7b903882269bb,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed1094801211,True,,,6,colourable,True,10
True,[],True,True,6,15,0.00032665300000189745,3,5656efcfcb200fa51023a1d6d8e790763060aa7f8a8f76a48cba2507fef33a43,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed1562168113,True,,,6,colourable,True,10
True,[],True,True,6,15,0.00038751800002501113,3,71017b96a7678eb0be8a289f968f0e88e8f78b796e758835eca1c62278114722,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed3296643346,True,,,6,colourable,True,10
True,[],True,True,6,15,0.00043022099998779595,3,c339ac15cfdb55c2a1cf438e6384ad9996e7edc7a8481954e0eb7b4594e30b95,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed2463246403,True,,,6,colourable,True,10
True,[],True,True,6,15,0.00033618199995544273,3,b11e65f00e3cb0781c2c8f34e472d2449e76845f83ac23fdf7045c686b0225ec,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed278914652,True,,,8,colourable,True,10
True,[],True,True,6,15,0.0003254030000334751,3,c02458fe34cc6ec3e2cefee0443a5fdc241847dcce6b195a9b28d8b72cbf1ba1,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed3204599119,True,,,6,colourable,True,10
True,[],True,True,6,15,0.0003395439999849259,3,0f2424542ab43ba71254024d16959c2cb464fd473a4da3b284f63b7203e348e8,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed1494323942,True,,,6,colourable,True,10
True,[],True,True,6,15,0.00032316900001205795,3,ae7ab5e10c0896ff1c0e7b0341361c006ef45ac09b9248ca7c2907a72306dca6,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed214812011,True,,,6,colourable,True,10
True,[],True,True,6,15,0.0004513920000590588,3,6bce55e02e8036389d1fa09a652e040ab21719ec0d69a6185346ca2d4d7ff548,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed730912874,True,,,9,colourable,True,10
